requested_ticker,normalized_ticker,dataset_ticker,aliases,company_name,tsetmc_instrument_id,n_instrument_candidates,instrument_id_candidates,market_name,candidate_first_trade_date_jalali,candidate_first_trade_date_gregorian,candidate_first_trade_date_verified,number_of_historical_trade_days,trade_history_source_url_or_endpoint,codal_candidate_notice_count,codal_candidate_notice_title,codal_candidate_notice_date,codal_candidate_notice_url,instrument_status,trade_history_status,codal_status,extraction_status,error_message,retrieved_at,raw_response_sha256
اردستان,اردستان,اردستان,اردستان,شرکت سیمان اردستان,,0,,,,,False,,,0,,,,network_unreachable,skipped,network_unreachable,network_unreachable,"search:ReadTimeout: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Read timed out. (read timeout=6.0) ; trade_history:skipped: instrument_status=network_unreachable ; codal:ReadTimeout: HTTPSConnectionPool(host='search.codal.ir', port=443): Read timed out. (read timeout=6.0)",2026-06-22T09:07:28Z,"{""tsetmc_search"": null, ""tsetmc_trade_history"": null, ""codal"": null}"
اروند,اروند,اروند,اروند,شرکت پتروشیمی اروند,,0,,,,,False,,,0,,,,network_unreachable,skipped,network_unreachable,network_unreachable,"search:ReadTimeout: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Read timed out. (read timeout=6.0) ; trade_history:skipped: instrument_status=network_unreachable ; codal:ReadTimeout: HTTPSConnectionPool(host='search.codal.ir', port=443): Read timed out. (read timeout=6.0)",2026-06-22T09:09:00Z,"{""tsetmc_search"": null, ""tsetmc_trade_history"": null, ""codal"": null}"
سآبیک,سآبیک,سآبیک,سآبیک,سیمان آبیک,,0,,,,,False,,,0,,,,network_unreachable,skipped,network_unreachable,network_unreachable,"search:ReadTimeout: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Read timed out. (read timeout=6.0) ; trade_history:skipped: instrument_status=network_unreachable ; codal:ReadTimeout: HTTPSConnectionPool(host='search.codal.ir', port=443): Read timed out. (read timeout=6.0)",2026-06-22T09:09:18Z,"{""tsetmc_search"": null, ""tsetmc_trade_history"": null, ""codal"": null}"
وکغدیر,وکغدیر,وکغدیر,وکغدیر,سرمایه گذاری غدیر,,0,,,,,False,,,0,,,,network_unreachable,skipped,network_unreachable,network_unreachable,"search:ReadTimeout: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Read timed out. (read timeout=6.0) ; trade_history:skipped: instrument_status=network_unreachable ; codal:ReadTimeout: HTTPSConnectionPool(host='search.codal.ir', port=443): Read timed out. (read timeout=6.0)",2026-06-22T09:10:30Z,"{""tsetmc_search"": null, ""tsetmc_trade_history"": null, ""codal"": null}"
کویر,کویر,کویر,کویر,شرکت تولیدی فولاد سپید فراب کویر,,0,,,,,False,,,0,,,,network_unreachable,skipped,network_unreachable,network_unreachable,"search:ReadTimeout: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Read timed out. (read timeout=6.0) ; trade_history:skipped: instrument_status=network_unreachable ; codal:ReadTimeout: HTTPSConnectionPool(host='search.codal.ir', port=443): Read timed out. (read timeout=6.0)",2026-06-22T09:10:42Z,"{""tsetmc_search"": null, ""tsetmc_trade_history"": null, ""codal"": null}"
بوعلی,بوعلی,بوعلی,بوعلی,شرکت پتروشیمی بوعلی سینا,,0,,,,,False,,,0,,,,network_unreachable,skipped,network_unreachable,network_unreachable,"search:ReadTimeout: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Read timed out. (read timeout=6.0) ; trade_history:skipped: instrument_status=network_unreachable ; codal:ReadTimeout: HTTPSConnectionPool(host='search.codal.ir', port=443): Read timed out. (read timeout=6.0)",2026-06-22T09:10:54Z,"{""tsetmc_search"": null, ""tsetmc_trade_history"": null, ""codal"": null}"
نوری,نوری,نوری,نوری,شرکت پتروشیمی نوری,,0,,,,,False,,,0,,,,network_unreachable,skipped,network_unreachable,network_unreachable,"search:ReadTimeout: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Read timed out. (read timeout=6.0) ; trade_history:skipped: instrument_status=network_unreachable ; codal:ReadTimeout: HTTPSConnectionPool(host='search.codal.ir', port=443): Read timed out. (read timeout=6.0)",2026-06-22T09:11:06Z,"{""tsetmc_search"": null, ""tsetmc_trade_history"": null, ""codal"": null}"
سپید,سپید,سپید,سپید,شرکت سپید ماکیان,,0,,,,,False,,,0,,,,network_unreachable,skipped,network_unreachable,network_unreachable,"search:ReadTimeout: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Read timed out. (read timeout=6.0) ; trade_history:skipped: instrument_status=network_unreachable ; codal:ReadTimeout: HTTPSConnectionPool(host='search.codal.ir', port=443): Read timed out. (read timeout=6.0)",2026-06-22T09:11:18Z,"{""tsetmc_search"": null, ""tsetmc_trade_history"": null, ""codal"": null}"
کیمیاتک,کیمیاتک,کیمیاتک,کیمیاتک,شرکت آریان کیمیاتک,,0,,,,,False,,,0,,,,network_unreachable,skipped,network_unreachable,network_unreachable,"search:ReadTimeout: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Read timed out. (read timeout=6.0) ; trade_history:skipped: instrument_status=network_unreachable ; codal:ReadTimeout: HTTPSConnectionPool(host='search.codal.ir', port=443): Read timed out. (read timeout=6.0)",2026-06-22T09:11:30Z,"{""tsetmc_search"": null, ""tsetmc_trade_history"": null, ""codal"": null}"
پی‌پاد,پیپاد,پی‌پاد,پی‌پاد | پیپاد,پرداخت الکترونیک پاسارگاد,,0,,,,,False,,,0,,,,network_unreachable,skipped,network_unreachable,network_unreachable,"search:ReadTimeout: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Read timed out. (read timeout=6.0) ; trade_history:skipped: instrument_status=network_unreachable ; codal:ReadTimeout: HTTPSConnectionPool(host='search.codal.ir', port=443): Read timed out. (read timeout=6.0)",2026-06-22T09:11:42Z,"{""tsetmc_search"": null, ""tsetmc_trade_history"": null, ""codal"": null}"
پرداخت,پرداخت,پرداخت,پرداخت,به پرداخت ملت,,0,,,,,False,,,0,,,,network_unreachable,skipped,network_unreachable,network_unreachable,"search:ReadTimeout: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Read timed out. (read timeout=6.0) ; trade_history:skipped: instrument_status=network_unreachable ; codal:ReadTimeout: HTTPSConnectionPool(host='search.codal.ir', port=443): Read timed out. (read timeout=6.0)",2026-06-22T09:11:54Z,"{""tsetmc_search"": null, ""tsetmc_trade_history"": null, ""codal"": null}"
پارس,پارس,پارس,پارس,شرکت پتروشیمی پارس,,0,,,,,False,,,0,,,,network_unreachable,skipped,network_unreachable,network_unreachable,"search:ReadTimeout: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Read timed out. (read timeout=6.0) ; trade_history:skipped: instrument_status=network_unreachable ; codal:ReadTimeout: HTTPSConnectionPool(host='search.codal.ir', port=443): Read timed out. (read timeout=6.0)",2026-06-22T09:12:08Z,"{""tsetmc_search"": null, ""tsetmc_trade_history"": null, ""codal"": null}"
کاوه,کاوه,کاوه,کاوه,فولاد کاوه جنوب کیش,,0,,,,,False,,,0,,,,network_unreachable,skipped,network_unreachable,network_unreachable,"search:ReadTimeout: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Read timed out. (read timeout=6.0) ; trade_history:skipped: instrument_status=network_unreachable ; codal:ReadTimeout: HTTPSConnectionPool(host='search.codal.ir', port=443): Read timed out. (read timeout=6.0)",2026-06-22T09:12:20Z,"{""tsetmc_search"": null, ""tsetmc_trade_history"": null, ""codal"": null}"
جم‌پیلن,جم پیلن,جم پیلن,جم‌پیلن | جمپیلن | جم پیلن,شرکت پلی پروپیلن جم,,0,,,,,False,,,0,,,,network_unreachable,skipped,network_unreachable,network_unreachable,"search:ReadTimeout: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Read timed out. (read timeout=6.0) ; trade_history:skipped: instrument_status=network_unreachable ; codal:ReadTimeout: HTTPSConnectionPool(host='search.codal.ir', port=443): Read timed out. (read timeout=6.0)",2026-06-22T09:12:32Z,"{""tsetmc_search"": null, ""tsetmc_trade_history"": null, ""codal"": null}"
اپال,اپال,اپال,اپال,,,0,,,,,False,,,0,,,,network_unreachable,skipped,network_unreachable,network_unreachable,"search:ReadTimeout: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Read timed out. (read timeout=6.0) ; trade_history:skipped: instrument_status=network_unreachable ; codal:ReadTimeout: HTTPSConnectionPool(host='search.codal.ir', port=443): Read timed out. (read timeout=6.0)",2026-06-22T09:12:44Z,"{""tsetmc_search"": null, ""tsetmc_trade_history"": null, ""codal"": null}"
